dE_max_estimated,used_real_mask,valid_pixel_fraction,observed_baseline_rgb,n_baseline_pixels,correction_scale,correction_suspicious,used_background_model,n_valid_windows,n_blocks_dropped_as_implausible,max_dE_raw,part_id,image_filepath,well_size,truck_number,dE_max_measured,label
6.7335583058726565,True,0.6222890142746914,"(np.float64(148.0), np.float64(150.5), np.float64(154.0))",12800,"(np.float64(1.3891891891891892), np.float64(1.302325581395349), np.float64(1.2136363636363636))",False,True,12878,0,15.903337620591017,964,training_set\images\image_00964.jpg,6038,124.0,2.677036520455188,PASS
2.4945859033200253,True,0.5642314091435185,"(np.float64(150.0), np.float64(151.0), np.float64(154.0))",5650,"(np.float64(1.3706666666666667), np.float64(1.2980132450331126), np.float64(1.2136363636363636))",False,True,11710,0,10.232234310790838,712,training_set\images\image_00712.jpg,7038,118.0,2.9431823984249936,PASS
6.184920578041341,True,0.382813102816358,"(np.float64(188.0), np.float64(161.0), np.float64(122.0))",12800,"(np.float64(1.0936170212765957), np.float64(1.2173913043478262), np.float64(1.5319672131147541))",False,True,7969,1,25.20102021498609,358,training_set\images\image_00358.jpg,7024,111.0,8.016687792375588,FAIL
5.130001092712205,True,0.6222890142746914,"(np.float64(161.0), np.float64(163.0), np.float64(166.0))",12800,"(np.float64(1.2770186335403726), np.float64(1.2024539877300613), np.float64(1.1259036144578314))",False,True,12878,0,14.919514664619733,813,training_set\images\image_00813.jpg,6038,120.0,8.26170335718426,PASS
6.490266938926085,True,0.6222890142746914,"(np.float64(147.0), np.float64(148.0), np.float64(149.0))",12800,"(np.float64(1.398639455782313), np.float64(1.3243243243243243), np.float64(1.2543624161073825))",False,True,12878,0,20.76321177610961,1139,training_set\images\image_01139.jpg,6038,130.0,2.1701716924644727,PASS
1.666382929258717,True,0.5642314091435185,"(np.float64(147.0), np.float64(147.0), np.float64(150.0))",5650,"(np.float64(1.398639455782313), np.float64(1.3333333333333333), np.float64(1.246))",False,True,11710,0,2.7534486346412312,727,training_set\images\image_00727.jpg,7038,118.0,1.5039080419859796,PASS
5.332016589941868,True,0.6222890142746914,"(np.float64(132.0), np.float64(139.0), np.float64(142.0))",12800,"(np.float64(1.5575757575757576), np.float64(1.410071942446043), np.float64(1.3161971830985917))",False,True,12878,0,12.795800125945908,1062,training_set\images\image_01062.jpg,6038,128.0,3.788171957882882,FAIL
5.997992355914244,True,0.382813102816358,"(np.float64(185.0), np.float64(159.0), np.float64(122.0))",12800,"(np.float64(1.1113513513513513), np.float64(1.2327044025157232), np.float64(1.5319672131147541))",False,True,7969,4,36.28331213150019,347,training_set\images\image_00347.jpg,7024,111.0,8.744875355509556,FAIL
5.667283253398209,True,0.382813102816358,"(np.float64(186.0), np.float64(161.0), np.float64(123.0))",12800,"(np.float64(1.1053763440860214), np.float64(1.2173913043478262), np.float64(1.5195121951219512))",False,True,7969,4,33.930910940275126,368,training_set\images\image_00368.jpg,7024,111.0,6.780995619264848,FAIL
7.662947580461236,True,0.4214867862654321,"(np.float64(149.0), np.float64(150.0), np.float64(151.5))",12800,"(np.float64(1.3798657718120806), np.float64(1.3066666666666666), np.float64(1.2336633663366336))",False,True,8755,0,22.155876729125765,786,training_set\images\image_00786.jpg,6024,120.0,3.03186591774294,PASS
