dE_max_estimated,used_real_mask,valid_pixel_fraction,observed_baseline_rgb,n_baseline_pixels,correction_scale,correction_suspicious,n_valid_windows,n_blocks_dropped_as_implausible,max_dE_raw,part_id,image_filepath,well_size,truck_number,dE_max_measured,label
3.1021022826851863,True,0.382813102816358,"(np.float64(194.0), np.float64(169.0), np.float64(134.0))",12800,"(np.float64(1.0597938144329897), np.float64(1.1597633136094674), np.float64(1.394776119402985))",False,7969,0,7.849710180662659,87,training_set\images\image_00087.jpg,7024,111.0,2.728254985055925,PASS
2.382955554293097,True,0.382813102816358,"(np.float64(196.0), np.float64(172.0), np.float64(137.0))",12800,"(np.float64(1.0489795918367346), np.float64(1.1395348837209303), np.float64(1.364233576642336))",False,7969,0,7.150777935337925,89,training_set\images\image_00089.jpg,7024,111.0,2.242809509210499,PASS
1.8223312135043965,True,0.382813102816358,"(np.float64(197.0), np.float64(172.0), np.float64(137.0))",12800,"(np.float64(1.0436548223350253), np.float64(1.1395348837209303), np.float64(1.364233576642336))",False,7969,0,7.273029151144469,90,training_set\images\image_00090.jpg,7024,111.0,2.0597337005485192,PASS
3.8494708589532816,True,0.382813102816358,"(np.float64(196.0), np.float64(172.0), np.float64(137.0))",12800,"(np.float64(1.0489795918367346), np.float64(1.1395348837209303), np.float64(1.364233576642336))",False,7969,0,18.14622221406059,91,training_set\images\image_00091.jpg,7024,111.0,2.2178459335861778,PASS
3.401585597088452,True,0.382813102816358,"(np.float64(195.0), np.float64(170.0), np.float64(133.0))",12800,"(np.float64(1.0543589743589743), np.float64(1.1529411764705881), np.float64(1.405263157894737))",False,7969,0,10.798115192633613,92,training_set\images\image_00092.jpg,7024,111.0,4.02357611737532,PASS
2.327701985437308,True,0.382813102816358,"(np.float64(196.0), np.float64(173.0), np.float64(138.0))",12800,"(np.float64(1.0489795918367346), np.float64(1.1329479768786128), np.float64(1.3543478260869566))",False,7969,0,7.266754383233354,93,training_set\images\image_00093.jpg,7024,111.0,2.914717798054555,PASS
2.5203445807575884,True,0.382813102816358,"(np.float64(195.0), np.float64(170.0), np.float64(134.0))",12800,"(np.float64(1.0543589743589743), np.float64(1.1529411764705881), np.float64(1.394776119402985))",False,7969,0,7.4827770025862055,94,training_set\images\image_00094.jpg,7024,111.0,1.733823270579698,PASS
1.593885566368213,True,0.382813102816358,"(np.float64(195.0), np.float64(169.0), np.float64(131.0))",12800,"(np.float64(1.0543589743589743), np.float64(1.1597633136094674), np.float64(1.4267175572519084))",False,7969,0,3.8699133003138053,95,training_set\images\image_00095.jpg,7024,111.0,2.7922688320627,PASS
2.1615095826085793,True,0.382813102816358,"(np.float64(196.0), np.float64(170.0), np.float64(132.0))",12800,"(np.float64(1.0489795918367346), np.float64(1.1529411764705881), np.float64(1.415909090909091))",False,7969,0,7.713079430772391,96,training_set\images\image_00096.jpg,7024,111.0,2.0911055942627903,PASS
1.9284748957205815,True,0.382813102816358,"(np.float64(195.0), np.float64(171.0), np.float64(135.0))",12800,"(np.float64(1.0543589743589743), np.float64(1.1461988304093567), np.float64(1.3844444444444446))",False,7969,0,9.634665238919784,98,training_set\images\image_00098.jpg,7024,111.0,2.2453663319797164,PASS
2.846040321889143,True,0.382813102816358,"(np.float64(196.0), np.float64(172.0), np.float64(135.0))",12800,"(np.float64(1.0489795918367346), np.float64(1.1395348837209303), np.float64(1.3844444444444446))",False,7969,0,8.802549030259433,99,training_set\images\image_00099.jpg,7024,111.0,2.287257336556311,PASS
2.2990826118077354,True,0.382813102816358,"(np.float64(195.0), np.float64(170.0), np.float64(135.0))",12800,"(np.float64(1.0543589743589743), np.float64(1.1529411764705881), np.float64(1.3844444444444446))",False,7969,0,8.715252020371226,100,training_set\images\image_00100.jpg,7024,111.0,3.0859606781165474,PASS
2.6339089327206064,True,0.382813102816358,"(np.float64(195.0), np.float64(171.0), np.float64(135.0))",12800,"(np.float64(1.0543589743589743), np.float64(1.1461988304093567), np.float64(1.3844444444444446))",False,7969,0,8.267266864603089,101,training_set\images\image_00101.jpg,7024,111.0,2.1620873553842874,PASS
2.2585081063903214,True,0.382813102816358,"(np.float64(195.0), np.float64(170.0), np.float64(134.0))",12800,"(np.float64(1.0543589743589743), np.float64(1.1529411764705881), np.float64(1.394776119402985))",False,7969,0,8.982346706169915,102,training_set\images\image_00102.jpg,7024,111.0,2.449062450447475,PASS
4.339235708454179,True,0.5642314091435185,"(np.float64(200.0), np.float64(177.0), np.float64(143.0))",5650,"(np.float64(1.028), np.float64(1.1073446327683616), np.float64(1.3069930069930071))",False,11710,0,13.392781363849728,104,training_set\images\image_00104.jpg,7038,111.0,2.1222960611758244,PASS
5.240772911363003,True,0.5642314091435185,"(np.float64(201.0), np.float64(178.0), np.float64(145.0))",5650,"(np.float64(1.0228855721393035), np.float64(1.101123595505618), np.float64(1.2889655172413794))",False,11710,0,10.70269807615761,105,training_set\images\image_00105.jpg,7038,111.0,2.363641470185178,PASS
5.247345891598995,True,0.5642314091435185,"(np.float64(199.0), np.float64(177.0), np.float64(143.0))",5650,"(np.float64(1.0331658291457286), np.float64(1.1073446327683616), np.float64(1.3069930069930071))",False,11710,0,9.859215509607024,106,training_set\images\image_00106.jpg,7038,111.0,5.855829962750695,PASS
3.2737305730003414,True,0.5642314091435185,"(np.float64(199.0), np.float64(176.0), np.float64(142.0))",5650,"(np.float64(1.0331658291457286), np.float64(1.1136363636363635), np.float64(1.3161971830985917))",False,11710,0,10.577456639681317,107,training_set\images\image_00107.jpg,7038,111.0,2.0706158110442816,PASS
3.2441251608203245,True,0.5642314091435185,"(np.float64(198.0), np.float64(173.0), np.float64(137.0))",5650,"(np.float64(1.0383838383838384), np.float64(1.1329479768786128), np.float64(1.364233576642336))",False,11710,0,8.526268058232622,108,training_set\images\image_00108.jpg,7038,111.0,1.7518238219948346,PASS
3.8073005318201956,True,0.5642314091435185,"(np.float64(201.0), np.float64(179.0), np.float64(146.0))",5650,"(np.float64(1.0228855721393035), np.float64(1.094972067039106), np.float64(1.2801369863013699))",False,11710,0,7.574464840117929,109,training_set\images\image_00109.jpg,7038,111.0,2.624474434084903,PASS
4.361299460941867,True,0.5642314091435185,"(np.float64(200.0), np.float64(178.0), np.float64(146.0))",5650,"(np.float64(1.028), np.float64(1.101123595505618), np.float64(1.2801369863013699))",False,11710,0,8.012249601452964,110,training_set\images\image_00110.jpg,7038,111.0,2.031857591126254,PASS
2.6160778110822362,True,0.5642314091435185,"(np.float64(197.0), np.float64(173.0), np.float64(137.0))",5650,"(np.float64(1.0436548223350253), np.float64(1.1329479768786128), np.float64(1.364233576642336))",False,11710,0,14.010934852618988,112,training_set\images\image_00112.jpg,7038,111.0,2.2580464550328623,PASS
3.5432210570705354,True,0.5642314091435185,"(np.float64(200.0), np.float64(178.0), np.float64(145.0))",5650,"(np.float64(1.028), np.float64(1.101123595505618), np.float64(1.2889655172413794))",False,11710,0,11.661657803103928,113,training_set\images\image_00113.jpg,7038,111.0,1.931435532259725,PASS
