part_id,label,dE_max,dE_max_cie76,dE_mean,op_agreement_gap,n_dropped_points,truck_number,date,well_number,well_size
69,FAIL,2.2416543891765883,2.9791605466137523,1.8134546337609663,0.009686382302410923,0,111.0,10/17/2024,1,7024
70,FAIL,4.232756366895861,4.360257382820933,2.4428653661358295,1.9617387215621416,1,111.0,10/17/2024,2,7024
71,FAIL,5.708259426772409,5.894405186276228,2.5169544977999023,3.7390209519954345,0,111.0,10/17/2024,3,7024
72,PASS,2.294705500705295,3.2118462369795995,1.6187032486566082,0.4773278547748465,0,111.0,10/17/2024,4,7024
73,PASS,3.2034525093914463,4.5605290263301645,2.4296988953187904,0.3205964074378782,0,111.0,10/17/2024,5,7024
74,PASS,2.758758258823071,3.9208010979900543,1.9590987363740477,0.5193157052844937,0,111.0,10/17/2024,6,7024
75,PASS,2.073667726369915,2.948087303659774,1.4878421582347638,0.07530027984598253,0,111.0,10/17/2024,7,7024
76,FAIL,2.7934877670485303,3.7191010338521324,1.7258411453385636,0.3417748711681825,0,111.0,10/17/2024,8,7024
77,FAIL,3.0360933946635225,4.011683717592902,1.9147289452693623,0.9379732703426837,0,111.0,10/17/2024,9,7024
78,PASS,2.3266244141348285,2.9158789412456776,1.4323293596537223,0.7107609935775283,0,111.0,10/18/2024,10,7024
79,PASS,2.8601054111181505,3.7107453766056193,1.5513067964190068,0.7645944409042666,0,111.0,10/18/2024,11,7024
80,PASS,2.4087070659591245,3.38178484679319,1.7177354144168238,0.16633278177198596,0,111.0,10/18/2024,12,7024
81,PASS,2.720789729706061,3.761436726837244,1.868544478403097,0.704402353074268,0,111.0,10/18/2024,13,7024
82,PASS,2.917225070876717,4.118308208475899,2.620121923546761,0.17260318426951038,0,111.0,10/18/2024,14,7024
83,PASS,3.1365488742766794,4.422451557425791,1.8781569550040491,1.5082002598013704,1,111.0,10/18/2024,15,7024
84,PASS,1.9546337402591036,2.7867207430957306,1.4345056094167086,0.3359548517832711,0,111.0,10/18/2024,16,7024
85,PASS,1.7912593895208788,2.5167451698572956,1.5178753929883337,0.014626641133609786,0,111.0,10/18/2024,17,7024
