dE_max_estimated,used_real_mask,valid_pixel_fraction,observed_baseline_rgb,n_baseline_pixels,correction_scale,correction_suspicious,used_background_model,n_valid_windows,n_blocks_dropped_as_implausible,max_dE_raw,part_id,image_filepath,well_size,truck_number,dE_max_measured,label
15.12180362353953,True,0.5642314091435185,"(np.float64(147.0), np.float64(148.0), np.float64(150.0))",5650,"(np.float64(1.398639455782313), np.float64(1.3243243243243243), np.float64(1.246))",False,False,11710,19,33.64789603324245,1113,training_set\images\image_01113.jpg,7038,129.0,5.5447908702481286,PASS
13.841379952597988,True,0.4214867862654321,"(np.float64(129.0), np.float64(131.0), np.float64(134.0))",12800,"(np.float64(1.5937984496124031), np.float64(1.4961832061068703), np.float64(1.394776119402985))",False,False,8755,0,14.019558320845793,616,training_set\images\image_00616.jpg,6024,117.0,2.1760408094465475,PASS
10.791261900380162,True,0.4214867862654321,"(np.float64(149.0), np.float64(149.5), np.float64(151.5))",12800,"(np.float64(1.3798657718120806), np.float64(1.3110367892976589), np.float64(1.2336633663366336))",False,False,8755,6,34.226438556992846,791,training_set\images\image_00791.jpg,6024,120.0,3.832516296527064,PASS
13.183376389712858,True,0.4214867862654321,"(np.float64(186.0), np.float64(163.0), np.float64(127.0))",12800,"(np.float64(1.1053763440860214), np.float64(1.2024539877300613), np.float64(1.4716535433070868))",False,False,8755,0,22.125704762280353,445,training_set\images\image_00445.jpg,6024,104.0,3.627155782606389,FAIL
9.499139194096536,True,0.4214867862654321,"(np.float64(194.0), np.float64(167.0), np.float64(129.0))",12800,"(np.float64(1.0597938144329897), np.float64(1.1736526946107784), np.float64(1.4488372093023256))",False,False,8755,0,18.4148377258321,145,training_set\images\image_00145.jpg,6024,112.0,2.95668188118446,PASS
12.47021237002326,True,0.5642314091435185,"(np.float64(146.0), np.float64(147.0), np.float64(150.0))",5650,"(np.float64(1.4082191780821918), np.float64(1.3333333333333333), np.float64(1.246))",False,False,11710,0,16.02557479750965,1229,training_set\images\image_01229.jpg,7038,132.0,2.5054124413567904,PASS
18.1226096210739,True,0.6222890142746914,"(np.float64(194.0), np.float64(168.0), np.float64(131.0))",12800,"(np.float64(1.0597938144329897), np.float64(1.1666666666666667), np.float64(1.4267175572519084))",False,False,12878,42,54.556128417367816,172,training_set\images\image_00172.jpg,6038,112.0,2.384424736177065,PASS
6.331978757213791,True,0.382813102816358,"(np.float64(197.0), np.float64(174.0), np.float64(139.5))",12800,"(np.float64(1.0436548223350253), np.float64(1.1264367816091954), np.float64(1.3397849462365592))",False,False,7969,0,10.202228789646242,79,training_set\images\image_00079.jpg,7024,111.0,2.8601054111181505,PASS
14.596903069731283,True,0.4214867862654321,"(np.float64(188.0), np.float64(165.0), np.float64(130.0))",12800,"(np.float64(1.0936170212765957), np.float64(1.187878787878788), np.float64(1.4376923076923078))",False,False,8755,13,36.22126817438665,451,training_set\images\image_00451.jpg,6024,104.0,3.815678310547332,FAIL
16.16965083168394,True,0.6222890142746914,"(np.float64(137.0), np.float64(137.0), np.float64(140.0))",12800,"(np.float64(1.5007299270072991), np.float64(1.4306569343065694), np.float64(1.335))",False,False,12878,24,39.15985224077309,1074,training_set\images\image_01074.jpg,6038,128.0,1.4229778317354052,PASS
