dE_max_estimated,used_real_mask,valid_pixel_fraction,observed_baseline_rgb,n_baseline_pixels,correction_scale,correction_suspicious,used_background_model,n_valid_windows,n_blocks_dropped_as_implausible,max_dE_raw,part_id,image_filepath,well_size,truck_number,dE_max_measured,label
6.296505050232102,True,0.382813102816358,"(np.float64(194.0), np.float64(169.0), np.float64(134.0))",12800,"(np.float64(1.0597938144329897), np.float64(1.1597633136094674), np.float64(1.394776119402985))",False,False,7969,0,11.91696225259972,86,training_set\images\image_00086.jpg,7024,111.0,1.44435508882391,PASS
7.215057651790265,True,0.382813102816358,"(np.float64(194.0), np.float64(169.0), np.float64(134.0))",12800,"(np.float64(1.0597938144329897), np.float64(1.1597633136094674), np.float64(1.394776119402985))",False,False,7969,0,11.152428204911285,87,training_set\images\image_00087.jpg,7024,111.0,2.728254985055925,PASS
6.474839211781028,True,0.382813102816358,"(np.float64(196.0), np.float64(172.0), np.float64(137.0))",12800,"(np.float64(1.0489795918367346), np.float64(1.1395348837209303), np.float64(1.364233576642336))",False,False,7969,0,10.507703380209602,89,training_set\images\image_00089.jpg,7024,111.0,2.242809509210499,PASS
6.324382872871035,True,0.382813102816358,"(np.float64(197.0), np.float64(172.0), np.float64(137.0))",12800,"(np.float64(1.0436548223350253), np.float64(1.1395348837209303), np.float64(1.364233576642336))",False,False,7969,0,10.69575705485598,90,training_set\images\image_00090.jpg,7024,111.0,2.0597337005485192,PASS
10.489738872508152,True,0.382813102816358,"(np.float64(196.0), np.float64(172.0), np.float64(137.0))",12800,"(np.float64(1.0489795918367346), np.float64(1.1395348837209303), np.float64(1.364233576642336))",False,False,7969,0,18.427983059115316,91,training_set\images\image_00091.jpg,7024,111.0,2.2178459335861778,PASS
7.599861879877642,True,0.382813102816358,"(np.float64(195.0), np.float64(170.0), np.float64(133.0))",12800,"(np.float64(1.0543589743589743), np.float64(1.1529411764705881), np.float64(1.405263157894737))",False,False,7969,0,14.246389599722505,92,training_set\images\image_00092.jpg,7024,111.0,4.02357611737532,PASS
6.040767995152776,True,0.382813102816358,"(np.float64(196.0), np.float64(173.0), np.float64(138.0))",12800,"(np.float64(1.0489795918367346), np.float64(1.1329479768786128), np.float64(1.3543478260869566))",False,False,7969,0,10.170724063642732,93,training_set\images\image_00093.jpg,7024,111.0,2.914717798054555,PASS
6.606016169221465,True,0.382813102816358,"(np.float64(195.0), np.float64(170.0), np.float64(134.0))",12800,"(np.float64(1.0543589743589743), np.float64(1.1529411764705881), np.float64(1.394776119402985))",False,False,7969,0,11.292129516899767,94,training_set\images\image_00094.jpg,7024,111.0,1.733823270579698,PASS
6.476548883272645,True,0.382813102816358,"(np.float64(195.0), np.float64(169.0), np.float64(131.0))",12800,"(np.float64(1.0543589743589743), np.float64(1.1597633136094674), np.float64(1.4267175572519084))",False,False,7969,0,7.977133644153989,95,training_set\images\image_00095.jpg,7024,111.0,2.7922688320627,PASS
6.263149517008821,True,0.382813102816358,"(np.float64(196.0), np.float64(170.0), np.float64(132.0))",12800,"(np.float64(1.0489795918367346), np.float64(1.1529411764705881), np.float64(1.415909090909091))",False,False,7969,0,11.150247143932873,96,training_set\images\image_00096.jpg,7024,111.0,2.0911055942627903,PASS
